ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
161219.SZ,国投新兴产业LOF,国投瑞银基金,混合型,20111213,1.5,0.25,中证新兴产业指数*55%+中债总指数*45%,灵活配置型,E,吴潇,6.18,20220930.0,0.12300000000000001,0.2318788958147818,0.14861934364608936,0.7495280050346129,-0.0327338129496402,0.1004090740052064,-0.15910780669144986,0.5623230809420465,0.5177956392748788,0.06429652040180606,-0.14534470452216913,4.36689459
002629.OF,招商安博C,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.52,20220930.0,,,,,-0.0060000000000000045,0.018108651911468827,-0.04960474308300397,0.3889177669196383,0.566392215568862,0.04568261098102936,-0.14577525933372934,0.8693
487016.OF,工银瑞信灵活配置A,工银瑞信基金,混合型,20150203,1.5,0.25,中证800指数收益率*55%+中债信用债总财富指数收益率*45%,灵活配置型,O,李昱,2.42,20220930.0,,,,0.09699999999999998,-0.003646308113035555,0.031107044830741105,-0.1236234458259324,0.3943633414436333,0.7349861858368474,0.2132590202405398,-0.1465529151699365,1.4709
001603.OF,易方达安盈回报,易方达基金,混合型,20170216,0.9,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,张清华,25.59,20220930.0,,,,,,0.2230000000000001,-0.16107931316435,0.4454191033138402,0.5542818610923803,0.19532091106290653,-0.14998036632136144,1.34198659
519736.OF,交银新成长,交银施罗德基金,混合型,20140509,1.5,0.25,富时中国A600成长指数*75%+中证综合债券指数*25%,混合型,O,王崇,94.77,20220930.0,,,0.08600000000000008,0.6611418047882136,0.024390243902439046,0.3358766233766234,-0.1598817191234254,0.5820284860173579,0.5597785990050712,0.03666903238203326,-0.15084436356766778,3.50519331
001256.OF,泓德优选成长,泓德基金,混合型,20150521,1.5,0.25,沪深300指数收益率*80%+中证综合债券指数*20%,混合型,O,王克玉,15.66,20220930.0,,,,0.08699999999999998,0.020515179392824275,0.10177589470837466,-0.14081165112092942,0.3673977906866012,0.5243147729846811,0.09994199391373326,-0.15088398482888876,1.0442641199999998
164205.OF,天弘文化新兴产业A,天弘基金,股票型,20170809,1.5,0.25,中证800指数收益率*80%+中证综合债指数收益率*20%,股票型,O,刘国江,4.7,20220930.0,,,,,,-0.007947259098708498,-0.14782450391407245,0.8780435711234514,0.40748322529284653,0.0517937944408533,-0.15183990166705086,0.994129865438454
110001.OF,易方达平稳增长,易方达基金,混合型,20020823,1.5,0.25,上证A股指数,平衡型,O,陈皓,34.03,20220930.0,0.01191367690108234,0.17703848223896662,0.1950787345317368,0.6216132195040295,-0.11217943991387826,0.1976114543884126,-0.1752541573625885,0.3980926225510803,0.4518748656639359,0.2422666101729586,-0.15265750115226928,3.3249205051399
161611.OF,融通内需驱动AB,融通基金,混合型,20090422,1.5,0.25,沪深300指数收益率*80%+中债综合全价(总值)指数收益率*20%,混合型,O,范琨,8.72,20220930.0,0.10675317015629612,0.10378363975486272,0.27966203983101995,0.3172043010752689,-0.2847117794486216,0.07247972770047043,-0.1569121627928684,0.6095496184894393,0.4896710012860596,0.3230611196855019,-0.15333851084590372,2.581287540548511
163804.OF,中银收益A,中银基金,混合型,20061011,1.5,0.25,中证800指数收益率*60%+中债综合指数收益率*40%,混合型,O,黄珺,18.71,20220930.0,0.1602161208512515,0.2821706899828929,0.13446001037728858,0.4644233910486768,-0.09371793155757813,0.08632615384615379,-0.077149654469242,0.3562944125300731,0.6604295747567853,0.22258117953097856,-0.15550100805231984,4.221784391884442
