ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
012000.OF,富国安泰90天短债C,富国基金,20210423,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,0.2,0.05,吴旅忠,15.36,20220930,,,,,,,,,,0.01980000000000004,0.020886448323200503,0.041099999999999914
011929.OF,申万菱信安泰稳利纯债一年定开,申万菱信基金,20210422,债券型,债券型,中国债券总指数(全价)收益率,0.3,0.15,杨翰,36.65,20220930,,,,,,,,,,0.02499999999999991,0.026048780487805043,0.05170000000000008
012136.OF,景顺长城景泰鑫利纯债C,景顺长城基金,20210422,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,何江波,0.0,20220930,,,,,,,,,,0.029245536915762056,0.050204828728318746,0.08091863281600435
011327.OF,太平丰盈一年定开,太平基金,20210422,债券型,债券型,中债综合指数收益率*90%+沪深300指数收益率*10%,0.35,0.08,陈晓,53.31,20220930,,,,,,,,,,0.011400000000000077,-0.04340518093731466,-0.03249999999999997
011864.OF,博时恒泰A,博时基金,20210422,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+恒生综合指数收益率*5%,0.6,0.15,张李陵 金晟哲,3.32,20220930,,,,,,,,,,0.034599999999999964,0.0009665571235261086,0.035600000000000076
011865.OF,博时恒泰C,博时基金,20210422,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+恒生综合指数收益率*5%,0.6,0.15,张李陵 金晟哲,1.0,20220930,,,,,,,,,,0.03210000000000002,-0.0026160255789166986,0.029400000000000093
012063.OF,天弘中债1-5年政策金融债,天弘基金,20210422,债券型,被动指数型,中债-1-5年政策性金融债全价(总值)指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,刘洋,13.76,20220930,,,,,,,,,,0.026609090000000002,0.028072223673764708,0.05542829000000005
010092.OF,永赢华嘉信用债A,永赢基金,20210420,债券型,债券型,中债-信用债总指数(财富)收益率,0.3,0.05,曾琬云 杨凡颖,43.43,20220930,,,,,,,,,,0.07069999999999999,0.025310544503595895,0.09780000000000011
011940.OF,大成全球美元债A美元,大成基金,20210419,债券型,债券型,巴克莱资本美国综合债券指数收益率*90%+商业银行活期存款基准利率(税后)*10%,0.8,0.25,彭振中,0.28,20220930,,,,,,,,,,-0.031719228413962096,-0.07055807210018948,-0.10003925290875686
011941.OF,大成全球美元债C美元,大成基金,20210419,债券型,债券型,巴克莱资本美国综合债券指数收益率*90%+商业银行活期存款基准利率(税后)*10%,0.8,0.25,彭振中,0.0,20220930,,,,,,,,,,-0.03627832512315269,-0.07453012106698428,-0.10810461822660099
