,date,open,close,high,low,volume,code
590,2010-06-02,2729.328,2757.527,2757.91,2700.07,39587020.0,sh000300
591,2010-06-03,2769.096,2736.076,2787.51,2735.7,39587258.0,sh000300
592,2010-06-04,2721.359,2744.391,2748.48,2713.09,32746291.0,sh000300
593,2010-06-07,2692.831,2695.715,2716.4,2673.34,39541993.0,sh000300
594,2010-06-08,2694.106,2699.336,2720.59,2672.06,35140182.0,sh000300
595,2010-06-09,2711.642,2782.133,2787.82,2687.33,60209533.0,sh000300
596,2010-06-10,2755.94,2750.023,2776.26,2746.11,42906334.0,sh000300
597,2010-06-11,2766.196,2758.866,2782.09,2755.95,40558585.0,sh000300
598,2010-06-17,2778.533,2742.733,2784.92,2742.64,32612356.0,sh000300
599,2010-06-18,2739.032,2696.166,2755.84,2686.61,41808344.0,sh000300
600,2010-06-21,2698.984,2780.663,2784.47,2686.32,55261482.0,sh000300
601,2010-06-22,2772.886,2783.72,2795.32,2766.44,39096052.0,sh000300
602,2010-06-23,2768.695,2758.495,2788.22,2734.05,35600350.0,sh000300
603,2010-06-24,2753.712,2757.498,2783.51,2739.81,29220682.0,sh000300
604,2010-06-25,2744.122,2736.287,2759.45,2715.66,30671782.0,sh000300
605,2010-06-28,2734.507,2716.777,2751.45,2710.09,27710044.0,sh000300
606,2010-06-29,2717.465,2592.019,2724.23,2591.69,48758552.0,sh000300
607,2010-06-30,2572.912,2563.07,2575.82,2546.84,35698794.0,sh000300
608,2010-07-01,2557.92,2526.071,2574.1,2524.57,32857646.0,sh000300
609,2010-07-02,2523.035,2534.105,2542.12,2462.2,44914100.0,sh000300
610,2010-07-05,2507.354,2512.651,2529.43,2476.49,32178574.0,sh000300
611,2010-07-06,2504.869,2562.902,2563.41,2502.93,39714762.0,sh000300
612,2010-07-07,2561.106,2580.477,2580.61,2548.56,35720909.0,sh000300
613,2010-07-08,2591.509,2575.921,2602.23,2564.64,34056966.0,sh000300
614,2010-07-09,2578.555,2647.104,2662.16,2557.26,58493045.0,sh000300
615,2010-07-12,2647.42,2676.22,2689.81,2636.65,58462491.0,sh000300
616,2010-07-13,2649.658,2634.593,2649.66,2618.34,43228506.0,sh000300
617,2010-07-14,2640.925,2653.609,2684.62,2640.54,46688860.0,sh000300
618,2010-07-15,2650.334,2608.519,2680.44,2607.79,40440459.0,sh000300
619,2010-07-16,2597.0,2616.128,2621.33,2573.79,35063302.0,sh000300
620,2010-07-19,2592.087,2682.472,2691.94,2585.01,53868070.0,sh000300
621,2010-07-20,2685.459,2741.503,2746.24,2685.46,73128345.0,sh000300
622,2010-07-21,2744.696,2747.335,2766.2,2733.72,70757092.0,sh000300
623,2010-07-22,2738.027,2781.286,2783.14,2734.07,61064806.0,sh000300
624,2010-07-23,2787.521,2793.076,2806.98,2769.44,64518565.0,sh000300
625,2010-07-26,2798.762,2811.055,2811.95,2775.78,53580026.0,sh000300
626,2010-07-27,2803.755,2795.724,2812.21,2785.37,49799884.0,sh000300
627,2010-07-28,2796.483,2863.724,2866.4,2784.16,79985954.0,sh000300
628,2010-07-29,2866.772,2877.976,2888.6,2852.0,95965409.0,sh000300
629,2010-07-30,2871.481,2868.846,2876.14,2844.68,62575591.0,sh000300
630,2010-08-02,2868.279,2917.275,2922.61,2867.45,71743300.0,sh000300
631,2010-08-03,2925.254,2865.971,2929.61,2865.76,81748364.0,sh000300
632,2010-08-04,2858.354,2876.434,2876.59,2818.25,71318039.0,sh000300
633,2010-08-05,2874.66,2850.829,2877.31,2833.67,67157581.0,sh000300
634,2010-08-06,2848.155,2897.659,2898.53,2821.03,74914895.0,sh000300
635,2010-08-09,2894.1,2918.24,2922.62,2888.04,74726391.0,sh000300
636,2010-08-10,2920.404,2832.638,2925.3,2832.08,78435034.0,sh000300
637,2010-08-11,2823.15,2850.211,2864.36,2823.15,54979133.0,sh000300
638,2010-08-12,2822.791,2816.386,2860.37,2810.1,59893227.0,sh000300
639,2010-08-13,2818.41,2855.547,2856.04,2799.22,58507721.0,sh000300
640,2010-08-16,2851.219,2922.083,2927.69,2843.02,81068043.0,sh000300
641,2010-08-17,2927.258,2942.291,2949.73,2917.83,76452912.0,sh000300
642,2010-08-18,2945.979,2937.362,2962.75,2924.67,70747600.0,sh000300
643,2010-08-19,2940.767,2955.395,2975.19,2928.01,76924865.0,sh000300
644,2010-08-20,2943.334,2898.333,2951.96,2892.64,71663306.0,sh000300
645,2010-08-23,2895.707,2896.192,2920.54,2886.66,48915517.0,sh000300
646,2010-08-24,2892.129,2911.827,2933.12,2866.8,61093796.0,sh000300
647,2010-08-25,2893.986,2843.023,2904.662,2842.249,63610621.0,sh000300
648,2010-08-26,2853.1,2850.09,2868.88,2836.13,48670442.0,sh000300
649,2010-08-27,2847.45,2858.57,2861.07,2833.42,40789582.0,sh000300
650,2010-08-30,2874.25,2915.01,2921.08,2872.92,65749882.0,sh000300
651,2010-08-31,2905.15,2903.19,2910.06,2889.81,65766104.0,sh000300
652,2010-09-01,2907.66,2884.04,2931.76,2859.17,76975578.0,sh000300
653,2010-09-02,2917.74,2921.39,2931.55,2903.03,70700851.0,sh000300
654,2010-09-03,2926.94,2920.21,2929.55,2891.88,72641027.0,sh000300
655,2010-09-06,2935.89,2975.09,2980.42,2935.89,93855681.0,sh000300
656,2010-09-07,2979.3,2983.11,2991.44,2959.9,73519361.0,sh000300
657,2010-09-08,2970.0,2980.97,2982.72,2953.84,72872002.0,sh000300
658,2010-09-09,2986.87,2926.46,2986.87,2922.2,81395554.0,sh000300
659,2010-09-10,2928.0,2932.55,2940.79,2890.03,65086704.0,sh000300
660,2010-09-13,2933.59,2962.32,2977.08,2925.42,67279900.0,sh000300
661,2010-09-14,2971.55,2965.01,2984.47,2954.51,70105903.0,sh000300
662,2010-09-15,2965.54,2913.19,2965.54,2905.63,71619642.0,sh000300
663,2010-09-16,2908.32,2857.79,2917.85,2834.03,74074284.0,sh000300
664,2010-09-17,2864.72,2861.37,2877.08,2847.68,51938867.0,sh000300
665,2010-09-20,2865.04,2849.83,2872.22,2829.76,50283104.0,sh000300
666,2010-09-21,2859.43,2857.48,2869.38,2844.12,35751881.0,sh000300
667,2010-09-27,2869.93,2905.03,2905.53,2864.21,49071823.0,sh000300
668,2010-09-28,2900.54,2880.91,2900.54,2875.66,58660826.0,sh000300
669,2010-09-29,2877.27,2874.81,2908.73,2866.85,56782236.0,sh000300
670,2010-09-30,2859.06,2935.57,2935.59,2857.42,63000247.0,sh000300
671,2010-10-08,2965.65,3044.23,3055.84,2963.24,99994720.0,sh000300
672,2010-10-11,3069.19,3132.9,3154.2,3069.19,158734904.0,sh000300
673,2010-10-12,3121.64,3172.73,3173.85,3106.22,127361705.0,sh000300
674,2010-10-13,3176.89,3217.58,3221.65,3165.58,144607773.0,sh000300
675,2010-10-14,3245.13,3224.14,3286.02,3215.03,179611838.0,sh000300
676,2010-10-15,3204.72,3327.68,3327.68,3199.12,193414140.0,sh000300
677,2010-10-18,3345.8,3306.16,3390.01,3288.78,217882051.0,sh000300
678,2010-10-19,3300.52,3375.67,3375.87,3280.0,130441791.0,sh000300
679,2010-10-20,3304.22,3396.88,3439.23,3301.01,166528460.0,sh000300
680,2010-10-21,3404.72,3374.69,3418.09,3344.96,123883245.0,sh000300
681,2010-10-22,3365.6,3378.66,3408.49,3346.11,116361857.0,sh000300
682,2010-10-25,3386.85,3481.08,3481.35,3366.43,145433105.0,sh000300
