ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
121006.OF,国投瑞银稳健增长,国投瑞银基金,混合型,20080611,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,吉莉,6.55,20220930.0,0.1425036089915445,0.0540312876052948,0.12644137458614,0.5545532863730807,-0.0447907158690833,0.0565490410210906,-0.1357278981879259,0.4385749149755205,0.5772357720831439,0.0710603828863362,-0.1285665173188143,2.8953033065236817
001445.OF,华安国企改革A,华安基金,混合型,20150629,1.5,0.25,中证800指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,O,陈媛,21.3,20220930.0,,,,0.236,-0.0614886731391586,0.118103448275862,-0.125674633770239,0.6225749559082895,0.7766304347826087,0.239216885897828,-0.1291039249568008,2.528
001856.OF,易方达环保主题,易方达基金,混合型,20170602,1.5,0.25,中证环保产业指数收益率*65%+一年期人民币定期存款利率(税后)*35%,灵活配置型,O,祁禾,91.08,20220930.0,,,,,,0.0969999999999999,-0.1403828623518687,0.6023329798515377,1.0635340833884843,0.3640153944836434,-0.1300258640959322,2.7
001182.OF,易方达安心回馈A,易方达基金,混合型,20150529,0.6,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,李中阳 林虎,52.92,20220930.0,,,,0.056,0.0340909090909091,0.2216117216117216,-0.0584707646176912,0.4068471337579617,0.3174872665534805,0.1318728522336769,-0.1305502846299809,1.291
001822.OF,华商智能生活A,华商基金,混合型,20151113,1.5,0.25,中证800指数收益率*65%+上证国债指数收益率*35%,灵活配置型,O,高兵,33.45,20220930.0,,,,0.0129999999999999,-0.1214215202369199,-0.0764044943820225,-0.057177615571776,0.3496774193548387,0.7552581261950286,0.6644880174291938,-0.1318717277486911,1.653
000165.OF,国投瑞银策略精选,国投瑞银基金,混合型,20130927,1.5,0.25,沪深300指数*55%+中债总指数*45%,灵活配置型,O,吉莉,8.45,20220930.0,,0.0029999999999998,0.2786640079760719,0.6692397660818714,0.0209734678624813,0.0800658827835475,-0.0778582623798026,0.2988751251780056,0.5237891544624496,0.2279959846224047,-0.1325347041159129,3.58965259
501022.SH,银华鑫盛LOF,银华基金,混合型,20161014,1.5,0.25,沪深300指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,E,王海峰,41.87,20220930.0,,,,,0.0009999999999998,-0.1008991008991007,-0.1455555555555555,0.47074122236671,0.7541998231653404,0.266633064516129,-0.1329088738559491,1.1789999999999998
001498.OF,建信鑫荣回报A,建信基金,混合型,20161223,0.8,0.2,6%/年,灵活配置型,O,叶乐天,0.96,20220930.0,,,,,0.0003999999999999,0.1612355057976809,0.0076611861926488,0.2907910473261573,0.3100595632031768,0.0784839100783024,-0.1336753262709773,0.8494809400000001
003980.OF,中银证券瑞益A,中银证券,混合型,20170125,0.6,0.1,中债综合全价指数收益率*60%+沪深300指数收益率*40%,灵活配置型,O,张燕,0.66,20220930.0,,,,,,0.0492999999999999,-0.1034219807454007,0.3396768020412503,0.539639711134037,0.2904489459306222,-0.1339271449113277,1.1683
003981.OF,中银证券瑞益C,中银证券,混合型,20170125,0.6,0.1,中债综合全价指数收益率*60%+沪深300指数收益率*40%,灵活配置型,O,张燕,0.19,20220930.0,,,,,,0.0443999999999999,-0.1081210496073549,0.3329754107162032,0.5386660222329627,0.2844877231558558,-0.1382514774811493,1.1143
