ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,all
010744.OF,工银瑞信灵动价值A,工银瑞信基金,20201225,混合型,混合型,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,1.5,0.25,20.3,20210930,,,,,,,,,0.0005999999999999339,0.006196282230661587,0.006799999999999917
010745.OF,工银瑞信灵动价值C,工银瑞信基金,20201225,混合型,混合型,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,1.5,0.25,1.49,20210930,,,,,,,,,0.0005999999999999339,0.0010993403957626434,0.0017000000000000348
010809.OF,达诚策略先锋C,达诚基金,20201225,混合型,混合型,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*15%+中债-综合指数(全价)收益率*15%,1.5,0.25,0.5,20210930,,,,,,,,,0.012699999999999934,-0.11484151278759748,-0.10360000000000003
011066.OF,大成高新技术产业C,大成基金,20201225,股票型,股票型,中证700指数收益率*80%+恒生指数收益率*10%+中证综合债指数收益率*10%,1.5,0.25,2.81,20210930,,,,,,,,,0.027552674230145856,0.2744479495268139,0.3095623987034036
010642.OF,农银汇理瑞祥一年持有,农银汇理基金,20201225,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.8,0.1,11.62,20210930,,,,,,,,,0.00019999999999997797,0.06138772245550902,0.0616000000000001
010404.OF,博道盛利6个月持有,博道基金,20201224,混合型,混合型,中债综合全价(总值)指数收益率*75%+中证800指数收益率*20%+中证港股通综合指数(人民币)收益率*5%,0.8,0.15,2.05,20210930,,,,,,,,,0.0045999999999999375,0.03892096356758923,0.04370000000000007
920928.OF,中金进取回报C,中金公司,20201224,混合型,灵活配置型,中债新综合全价指数收益率*55%+中证800指数收益率*35%+恒生指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,1.5,0.2,1.59,20210930,,,,,,,,,,-0.10005750431282345,-0.10005750431282345
010274.OF,嘉实价值长青C,嘉实基金,20201224,混合型,混合型,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,1.5,0.25,4.56,20210930,,,,,,,,,0.011300000000000088,-0.04617818649263331,-0.03539999999999999
010644.OF,富国全球健康生活人民币,富国基金,20201224,混合型,混合型,中证健康产业指数收益率*45%+中证海外中国内地企业互联互通医药卫生指数收益率*45%+人民币活期存款利率(税后)*10%,1.8,0.35,3.4,20210930,,,,,,,,,0.0040999999999999925,-0.10925206652723835,-0.10560000000000003
010273.OF,嘉实价值长青A,嘉实基金,20201224,混合型,混合型,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,1.5,0.25,52.66,20210930,,,,,,,,,0.011400000000000077,-0.042317579592643914,-0.031399999999999983
010645.OF,富国全球健康生活美元,富国基金,20201224,混合型,混合型,中证健康产业指数收益率*45%+中证海外中国内地企业互联互通医药卫生指数收益率*45%+人民币活期存款利率(税后)*10%,1.8,0.35,0.52,20210930,,,,,,,,,0.005882352941176549,-0.08836907082521117,-0.08300653594771235
920008.OF,中金进取回报A,中金公司,20201224,混合型,灵活配置型,中债新综合全价指数收益率*55%+中证800指数收益率*35%+恒生指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,1.5,0.2,3.1,20210930,0.02957055214723928,0.09617447264926707,0.3177954446618831,0.5074191847139066,-0.1344765819377043,0.05821549452689363,-0.0715105043552611,0.2314628071874292,0.20168777658307416,-0.058722192931592976,1.65546418404908
010571.OF,新沃创新领航C,新沃基金,20201224,混合型,混合型,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.5,0.15,0.63,20210930,,,,,,,,,-9.999999999998899e-05,0.15561556155615558,0.15549999999999997
010570.OF,新沃创新领航A,新沃基金,20201224,混合型,混合型,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.5,0.15,0.36,20210930,,,,,,,,,0.0,0.16149999999999998,0.16149999999999998
009727.OF,招商中证500等权重指数增强C,招商基金,20201223,股票型,增强指数型,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,1.2,0.25,0.63,20210930,,,,,,,,,0.01540000000000008,0.27378373054953714,0.2934000000000001
010499.OF,国金惠宁中短期利率债C,国金基金,20201223,债券型,债券型,中债-总财富(1-3年)指数收益率*90%+人民币活期存款收益率(税后)*10%,0.25,0.05,0.01,20210930,,,,,,,,,0.0004999999999999449,0.01779110444777615,0.018299999999999983
010739.OF,大成优选升级一年持有期C,大成基金,20201223,混合型,混合型,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,1.5,0.25,0.14,20210930,,,,,,,,,0.006000000000000005,-0.060139165009940355,-0.05449999999999999
010782.OF,兴业聚申一年持有C,兴业基金,20201223,混合型,混合型,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,1.0,0.2,0.38,20210930,,,,,,,,,0.0052000000000000934,0.06635495423796257,0.07190000000000007
011068.OF,华宝资源优选C,华宝基金,20201223,混合型,混合型,中证内地资源主题指数收益率*80%+上证国债指数收益率*20%,1.5,0.25,5.12,20210930,,,,,,,,,0.03384872544922708,0.3884397736459175,0.4354366903468451
010738.OF,大成优选升级一年持有期A,大成基金,20201223,混合型,混合型,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,1.5,0.25,4.98,20210930,,,,,,,,,0.006099999999999994,-0.05635622701520721,-0.05059999999999998
010613.OF,中融产业趋势一年定开A,中融基金,20201223,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,1.5,0.25,3.11,20210331,,,,,,,,,0.005600000000000049,0.24433174224343676,0.2513000000000001
010811.OF,湘财久盈中短债C,湘财基金,20201223,债券型,债券型,中债综合财富(1-3年)指数收益率*80%+银行一年期定期存款(税后)利率*20%,0.3,0.1,0.04,20210930,,,,,,,,,-9.999999999998899e-05,0.030103010301030117,0.030000000000000027
011080.OF,鹏华尊和一年定开债,鹏华基金,20201223,债券型,债券型,中证综合债指数收益率*90%+银行活期存款利率(税后)*10%,0.3,0.1,82.31,20210930,,,,,,,,,0.00039999999999995595,0.03898440623750515,0.0394000000000001
010614.OF,中融产业趋势一年定开C,中融基金,20201223,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,1.5,0.25,0.35,20210331,,,,,,,,,0.005400000000000071,0.2344340560970758,0.2411000000000001
010810.OF,湘财久盈中短债A,湘财基金,20201223,债券型,债券型,中债综合财富(1-3年)指数收益率*80%+银行一年期定期存款(税后)利率*20%,0.3,0.1,0.47,20210930,,,,,,,,,0.0,0.03410000000000002,0.03410000000000002
010781.OF,兴业聚申一年持有A,兴业基金,20201223,混合型,混合型,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,1.0,0.2,4.67,20210930,,,,,,,,,0.005400000000000071,0.07270738014720503,0.07850000000000001
009859.OF,银华乐享,银华基金,20201223,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中债综合指数收益率*20%,1.5,0.25,6.1,20210930,,,,,,,,,0.0051000000000001044,0.07282857427121672,0.07830000000000004
010175.OF,英大智享C,英大基金,20201223,债券型,债券型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+银行活期存款利率(税后)*5%,0.6,0.1,0.62,20210930,,,,,,,,,-0.0024999999999999467,0.06315789473684205,0.0605
010174.OF,英大智享A,英大基金,20201223,债券型,债券型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+银行活期存款利率(税后)*5%,0.6,0.1,1.44,20210930,,,,,,,,,-0.0023999999999999577,0.06736166800320763,0.06479999999999997
008300.OF,人保量化锐进A,人保资产,20201223,混合型,混合型,中证500指数收益率*45%+创业板指数收益率*40%+中债综合全价指数收益率*10%+商业银行活期存款利率*5%,1.5,0.25,0.18,20210930,,,,,,,,,-9.999999999998899e-05,0.001800180018001824,0.0017000000000000348
